ROIid;ROIabbr;ROIname;ROIcolor
78;lDorsAttnB_PostC_6;17Networks_LH_DorsAttnB_PostC_6;0 118 18
79;lDorsAttnB_PostC_7;17Networks_LH_DorsAttnB_PostC_7;0 118 19
80;lDorsAttnB_PostC_8;17Networks_LH_DorsAttnB_PostC_8;0 118 20
81;lDorsAttnB_PostC_9;17Networks_LH_DorsAttnB_PostC_9;0 118 21
82;lDorsAttnB_FEF_1;17Networks_LH_DorsAttnB_FEF_1;0 119 15
83;lDorsAttnB_FEF_2;17Networks_LH_DorsAttnB_FEF_2;0 119 16
84;lDorsAttnB_FEF_3;17Networks_LH_DorsAttnB_FEF_3;0 119 17
85;lDorsAttnB_PrCv_1;17Networks_LH_DorsAttnB_PrCv_1;0 119 18
86;lSalVentAttnA_ParOper_1;17Networks_LH_SalVentAttnA_ParOper_1;196 58 251
87;lSalVentAttnA_ParOper_2;17Networks_LH_SalVentAttnA_ParOper_2;196 58 252
88;lSalVentAttnA_ParOper_3;17Networks_LH_SalVentAttnA_ParOper_3;196 58 253
89;lSalVentAttnA_Ins_1;17Networks_LH_SalVentAttnA_Ins_1;196 59 249
90;lSalVentAttnA_Ins_2;17Networks_LH_SalVentAttnA_Ins_2;196 59 251
91;lSalVentAttnA_Ins_3;17Networks_LH_SalVentAttnA_Ins_3;196 59 252
92;lSalVentAttnA_Ins_4;17Networks_LH_SalVentAttnA_Ins_4;196 59 253
93;lSalVentAttnA_FrOper_1;17Networks_LH_SalVentAttnA_FrOper_1;196 59 254
94;lSalVentAttnA_FrOper_2;17Networks_LH_SalVentAttnA_FrOper_2;196 59 255
95;lSalVentAttnA_ParMed_1;17Networks_LH_SalVentAttnA_ParMed_1;193 52 249
96;lSalVentAttnA_ParMed_2;17Networks_LH_SalVentAttnA_ParMed_2;193 52 250
97;lSalVentAttnA_ParMed_3;17Networks_LH_SalVentAttnA_ParMed_3;193 52 251
98;lSalVentAttnA_FrMed_1;17Networks_LH_SalVentAttnA_FrMed_1;197 58 251
99;lSalVentAttnA_FrMed_2;17Networks_LH_SalVentAttnA_FrMed_2;197 58 252
100;lSalVentAttnA_FrMed_3;17Networks_LH_SalVentAttnA_FrMed_3;197 58 253
101;lSalVentAttnB_PFCl_1;17Networks_LH_SalVentAttnB_PFCl_1;255 153 214
102;lSalVentAttnB_PFCl_2;17Networks_LH_SalVentAttnB_PFCl_2;255 153 215
103;lSalVentAttnB_PFCl_3;17Networks_LH_SalVentAttnB_PFCl_3;255 153 216
104;lSalVentAttnB_Ins_1;17Networks_LH_SalVentAttnB_Ins_1;255 153 217
105;lSalVentAttnB_Ins_2;17Networks_LH_SalVentAttnB_Ins_2;255 153 218
106;lSalVentAttnB_Ins_3;17Networks_LH_SalVentAttnB_Ins_3;255 153 219
107;lSalVentAttnB_OFC_1;17Networks_LH_SalVentAttnB_OFC_1;255 152 213
108;lSalVentAttnB_PFCmp_1;17Networks_LH_SalVentAttnB_PFCmp_1;255 151 214
109;lLimbicB_OFC_1;17Networks_LH_LimbicB_OFC_1;122 135 49
110;lLimbicB_OFC_2;17Networks_LH_LimbicB_OFC_2;122 135 51
111;lLimbicB_OFC_3;17Networks_LH_LimbicB_OFC_3;122 135 52
112;lLimbicB_OFC_4;17Networks_LH_LimbicB_OFC_4;122 135 53
113;lLimbicB_OFC_5;17Networks_LH_LimbicB_OFC_5;122 135 54
114;lLimbicA_TempPole_1;17Networks_LH_LimbicA_TempPole_1;220 248 162
115;lLimbicA_TempPole_2;17Networks_LH_LimbicA_TempPole_2;220 248 163
116;lLimbicA_TempPole_3;17Networks_LH_LimbicA_TempPole_3;220 248 165
117;lLimbicA_TempPole_4;17Networks_LH_LimbicA_TempPole_4;220 248 166
118;lLimbicA_TempPole_5;17Networks_LH_LimbicA_TempPole_5;220 248 167
119;lLimbicA_TempPole_6;17Networks_LH_LimbicA_TempPole_6;220 248 168
120;lLimbicA_TempPole_7;17Networks_LH_LimbicA_TempPole_7;220 248 169
121;lContA_Temp_1;17Networks_LH_ContA_Temp_1;230 148 35
122;lContA_IPS_1;17Networks_LH_ContA_IPS_1;230 148 34
123;lContA_IPS_2;17Networks_LH_ContA_IPS_2;230 148 36
124;lContA_IPS_3;17Networks_LH_ContA_IPS_3;230 148 37
125;lContA_IPS_4;17Networks_LH_ContA_IPS_4;230 148 38
126;lContA_IPS_5;17Networks_LH_ContA_IPS_5;230 148 39
127;lContA_PFCd_1;17Networks_LH_ContA_PFCd_1;230 149 35
128;lContA_PFClv_1;17Networks_LH_ContA_PFClv_1;230 149 34
129;lContA_PFClv_2;17Networks_LH_ContA_PFClv_2;230 149 36
130;lContA_PFCl_1;17Networks_LH_ContA_PFCl_1;230 149 37
131;lContA_PFCl_2;17Networks_LH_ContA_PFCl_2;230 149 38
132;lContA_PFCl_3;17Networks_LH_ContA_PFCl_3;230 149 39
133;lContA_Cingm_1;17Networks_LH_ContA_Cingm_1;231 148 36
134;lContB_Temp_1;17Networks_LH_ContB_Temp_1;135 50 75
135;lContB_Temp_2;17Networks_LH_ContB_Temp_2;135 50 76
136;lContB_IPL_1;17Networks_LH_ContB_IPL_1;135 50 77
137;lContB_IPL_2;17Networks_LH_ContB_IPL_2;135 50 78
138;lContB_IPL_3;17Networks_LH_ContB_IPL_3;135 50 79
139;lContB_PFCd_1;17Networks_LH_ContB_PFCd_1;135 51 75
140;lContB_PFClv_1;17Networks_LH_ContB_PFClv_1;136 50 75
141;lContB_PFClv_2;17Networks_LH_ContB_PFClv_2;136 50 76
142;lContB_PFClv_3;17Networks_LH_ContB_PFClv_3;136 50 77
143;lContB_PFCmp_1;17Networks_LH_ContB_PFCmp_1;136 50 78
144;lContC_pCun_1;17Networks_LH_ContC_pCun_1;119 140 177
145;lContC_pCun_2;17Networks_LH_ContC_pCun_2;119 140 178
146;lContC_pCun_3;17Networks_LH_ContC_pCun_3;119 140 179
147;lContC_Cingp_1;17Networks_LH_ContC_Cingp_1;119 140 180
148;lContC_Cingp_2;17Networks_LH_ContC_Cingp_2;119 140 181
149;lDefaultA_IPL_1;17Networks_LH_DefaultA_IPL_1;255 255 1
150;lDefaultA_IPL_2;17Networks_LH_DefaultA_IPL_2;255 255 2
151;lDefaultA_PFCd_1;17Networks_LH_DefaultA_PFCd_1;255 255 3
152;lDefaultA_PFCd_2;17Networks_LH_DefaultA_PFCd_2;255 255 4
