ROIid;ROIabbr;ROIname;ROIcolor
329;rContA_PFCd_1;17Networks_RH_ContA_PFCd_1;234 147 34
330;rContA_PFCl_1;17Networks_RH_ContA_PFCl_1;233 148 33
331;rContA_PFCl_2;17Networks_RH_ContA_PFCl_2;233 148 35
332;rContA_PFCl_3;17Networks_RH_ContA_PFCl_3;233 148 36
333;rContA_PFCl_4;17Networks_RH_ContA_PFCl_4;233 148 37
334;rContA_PFCl_5;17Networks_RH_ContA_PFCl_5;233 148 38
335;rContA_Cingm_1;17Networks_RH_ContA_Cingm_1;233 148 34
336;rContB_Temp_1;17Networks_RH_ContB_Temp_1;140 51 76
337;rContB_Temp_2;17Networks_RH_ContB_Temp_2;140 51 77
338;rContB_IPL_1;17Networks_RH_ContB_IPL_1;139 50 74
339;rContB_IPL_2;17Networks_RH_ContB_IPL_2;139 50 75
340;rContB_IPL_3;17Networks_RH_ContB_IPL_3;139 50 76
341;rContB_IPL_4;17Networks_RH_ContB_IPL_4;139 50 77
342;rContB_PFCld_1;17Networks_RH_ContB_PFCld_1;139 49 75
343;rContB_PFCld_2;17Networks_RH_ContB_PFCld_2;139 49 76
344;rContB_PFCld_3;17Networks_RH_ContB_PFCld_3;139 49 77
345;rContB_PFCld_4;17Networks_RH_ContB_PFCld_4;139 49 78
346;rContB_PFClv_1;17Networks_RH_ContB_PFClv_1;139 49 74
347;rContB_PFClv_2;17Networks_RH_ContB_PFClv_2;139 49 79
348;rContB_PFClv_3;17Networks_RH_ContB_PFClv_3;139 49 80
349;rContB_PFClv_4;17Networks_RH_ContB_PFClv_4;139 50 73
350;rContB_PFCmp_1;17Networks_RH_ContB_PFCmp_1;138 50 75
351;rContC_pCun_1;17Networks_RH_ContC_pCun_1;123 141 175
352;rContC_pCun_2;17Networks_RH_ContC_pCun_2;123 141 177
353;rContC_pCun_3;17Networks_RH_ContC_pCun_3;123 141 178
354;rContC_pCun_4;17Networks_RH_ContC_pCun_4;123 141 179
355;rContC_pCun_5;17Networks_RH_ContC_pCun_5;123 141 180
356;rContC_Cingp_1;17Networks_RH_ContC_Cingp_1;123 141 181
357;rContC_Cingp_2;17Networks_RH_ContC_Cingp_2;123 141 182
358;rDefaultA_Temp_1;17Networks_RH_DefaultA_Temp_1;250 255 2
359;rDefaultA_IPL_1;17Networks_RH_DefaultA_IPL_1;251 254 2
360;rDefaultA_IPL_2;17Networks_RH_DefaultA_IPL_2;251 254 3
361;rDefaultA_PFCd_1;17Networks_RH_DefaultA_PFCd_1;251 255 3
362;rDefaultA_PFCd_2;17Networks_RH_DefaultA_PFCd_2;251 255 4
363;rDefaultA_pCunPCC_1;17Networks_RH_DefaultA_pCunPCC_1;251 253 1
364;rDefaultA_pCunPCC_2;17Networks_RH_DefaultA_pCunPCC_2;251 253 2
365;rDefaultA_pCunPCC_3;17Networks_RH_DefaultA_pCunPCC_3;251 253 3
366;rDefaultA_pCunPCC_4;17Networks_RH_DefaultA_pCunPCC_4;251 253 4
367;rDefaultA_pCunPCC_5;17Networks_RH_DefaultA_pCunPCC_5;251 253 5
368;rDefaultA_PFCm_1;17Networks_RH_DefaultA_PFCm_1;249 255 1
369;rDefaultA_PFCm_2;17Networks_RH_DefaultA_PFCm_2;249 255 2
370;rDefaultA_PFCm_3;17Networks_RH_DefaultA_PFCm_3;249 255 3
371;rDefaultA_PFCm_4;17Networks_RH_DefaultA_PFCm_4;249 255 4
372;rDefaultA_PFCm_5;17Networks_RH_DefaultA_PFCm_5;249 255 5
373;rDefaultA_PFCm_6;17Networks_RH_DefaultA_PFCm_6;249 255 6
374;rDefaultB_Temp_1;17Networks_RH_DefaultB_Temp_1;210 62 80
375;rDefaultB_Temp_2;17Networks_RH_DefaultB_Temp_2;210 62 81
376;rDefaultB_AntTemp_1;17Networks_RH_DefaultB_AntTemp_1;210 63 79
377;rDefaultB_PFCd_1;17Networks_RH_DefaultB_PFCd_1;210 63 78
378;rDefaultB_PFCd_2;17Networks_RH_DefaultB_PFCd_2;210 63 80
379;rDefaultB_PFCd_3;17Networks_RH_DefaultB_PFCd_3;210 63 81
380;rDefaultB_PFCd_4;17Networks_RH_DefaultB_PFCd_4;210 63 82
381;rDefaultB_PFCd_5;17Networks_RH_DefaultB_PFCd_5;210 63 83
382;rDefaultB_PFCv_1;17Networks_RH_DefaultB_PFCv_1;209 62 78
383;rDefaultB_PFCv_2;17Networks_RH_DefaultB_PFCv_2;209 62 79
384;rDefaultB_PFCv_3;17Networks_RH_DefaultB_PFCv_3;209 62 80
385;rDefaultC_IPL_1;17Networks_RH_DefaultC_IPL_1;4 1 132
386;rDefaultC_IPL_2;17Networks_RH_DefaultC_IPL_2;4 1 133
387;rDefaultC_Rsp_1;17Networks_RH_DefaultC_Rsp_1;5 0 131
388;rDefaultC_Rsp_2;17Networks_RH_DefaultC_Rsp_2;5 0 132
389;rDefaultC_PHC_1;17Networks_RH_DefaultC_PHC_1;5 0 133
390;rDefaultC_PHC_2;17Networks_RH_DefaultC_PHC_2;5 0 134
391;rTempPar_1;17Networks_RH_TempPar_1;16 48 251
392;rTempPar_2;17Networks_RH_TempPar_2;16 48 252
393;rTempPar_3;17Networks_RH_TempPar_3;16 48 253
394;rTempPar_4;17Networks_RH_TempPar_4;16 48 255
395;rTempPar_5;17Networks_RH_TempPar_5;13 41 250
396;rTempPar_6;17Networks_RH_TempPar_6;13 41 251
397;rTempPar_7;17Networks_RH_TempPar_7;13 41 252
398;rTempPar_8;17Networks_RH_TempPar_8;13 41 253
399;rTempPar_9;17Networks_RH_TempPar_9;13 41 254
400;rTempPar_10;17Networks_RH_TempPar_10;13 42 247
