ROIid;ROIabbr;ROIname
1;lVisCent_ExStr_1;17Networks_LH_VisCent_ExStr_1
2;lVisCent_ExStr_2;17Networks_LH_VisCent_ExStr_2
3;lVisCent_Striate_1;17Networks_LH_VisCent_Striate_1
4;lVisCent_ExStr_3;17Networks_LH_VisCent_ExStr_3
5;lVisCent_ExStr_4;17Networks_LH_VisCent_ExStr_4
6;lVisCent_ExStr_5;17Networks_LH_VisCent_ExStr_5
7;lVisPeri_ExStrInf_1;17Networks_LH_VisPeri_ExStrInf_1
8;lVisPeri_ExStrInf_2;17Networks_LH_VisPeri_ExStrInf_2
9;lVisPeri_ExStrInf_3;17Networks_LH_VisPeri_ExStrInf_3
10;lVisPeri_StriCal_1;17Networks_LH_VisPeri_StriCal_1
11;lVisPeri_ExStrSup_1;17Networks_LH_VisPeri_ExStrSup_1
12;lVisPeri_ExStrSup_2;17Networks_LH_VisPeri_ExStrSup_2
13;lSomMotA_1;17Networks_LH_SomMotA_1
14;lSomMotA_2;17Networks_LH_SomMotA_2
15;lSomMotA_3;17Networks_LH_SomMotA_3
16;lSomMotA_4;17Networks_LH_SomMotA_4
17;lSomMotA_5;17Networks_LH_SomMotA_5
18;lSomMotA_6;17Networks_LH_SomMotA_6
19;lSomMotA_7;17Networks_LH_SomMotA_7
20;lSomMotA_8;17Networks_LH_SomMotA_8
21;lSomMotB_Aud_1;17Networks_LH_SomMotB_Aud_1
22;lSomMotB_Aud_2;17Networks_LH_SomMotB_Aud_2
23;lSomMotB_S2_1;17Networks_LH_SomMotB_S2_1
24;lSomMotB_S2_2;17Networks_LH_SomMotB_S2_2
25;lSomMotB_Aud_3;17Networks_LH_SomMotB_Aud_3
26;lSomMotB_S2_3;17Networks_LH_SomMotB_S2_3
27;lSomMotB_Cent_1;17Networks_LH_SomMotB_Cent_1
28;lSomMotB_Cent_2;17Networks_LH_SomMotB_Cent_2
29;lDorsAttnA_TempOcc_1;17Networks_LH_DorsAttnA_TempOcc_1
30;lDorsAttnA_TempOcc_2;17Networks_LH_DorsAttnA_TempOcc_2
31;lDorsAttnA_ParOcc_1;17Networks_LH_DorsAttnA_ParOcc_1
32;lDorsAttnA_SPL_1;17Networks_LH_DorsAttnA_SPL_1
33;lDorsAttnA_SPL_2;17Networks_LH_DorsAttnA_SPL_2
34;lDorsAttnA_SPL_3;17Networks_LH_DorsAttnA_SPL_3
35;lDorsAttnB_PostC_1;17Networks_LH_DorsAttnB_PostC_1
36;lDorsAttnB_PostC_2;17Networks_LH_DorsAttnB_PostC_2
37;lDorsAttnB_PostC_3;17Networks_LH_DorsAttnB_PostC_3
38;lDorsAttnB_PostC_4;17Networks_LH_DorsAttnB_PostC_4
39;lDorsAttnB_FEF_1;17Networks_LH_DorsAttnB_FEF_1
40;lSalVentAttnA_ParOper_1;17Networks_LH_SalVentAttnA_ParOper_1
41;lSalVentAttnA_Ins_1;17Networks_LH_SalVentAttnA_Ins_1
42;lSalVentAttnA_FrOper_1;17Networks_LH_SalVentAttnA_FrOper_1
43;lSalVentAttnA_FrOper_2;17Networks_LH_SalVentAttnA_FrOper_2
44;lSalVentAttnA_ParMed_1;17Networks_LH_SalVentAttnA_ParMed_1
45;lSalVentAttnA_FrMed_1;17Networks_LH_SalVentAttnA_FrMed_1
46;lSalVentAttnA_FrMed_2;17Networks_LH_SalVentAttnA_FrMed_2
47;lSalVentAttnB_IPL_1;17Networks_LH_SalVentAttnB_IPL_1
48;lSalVentAttnB_PFCl_1;17Networks_LH_SalVentAttnB_PFCl_1
49;lSalVentAttnB_Ins_1;17Networks_LH_SalVentAttnB_Ins_1
50;lSalVentAttnB_PFCmp_1;17Networks_LH_SalVentAttnB_PFCmp_1
51;lLimbicB_OFC_1;17Networks_LH_LimbicB_OFC_1
52;lLimbicB_OFC_2;17Networks_LH_LimbicB_OFC_2
53;lLimbicA_TempPole_1;17Networks_LH_LimbicA_TempPole_1
54;lLimbicA_TempPole_2;17Networks_LH_LimbicA_TempPole_2
55;lLimbicA_TempPole_3;17Networks_LH_LimbicA_TempPole_3
56;lLimbicA_TempPole_4;17Networks_LH_LimbicA_TempPole_4
57;lContA_Temp_1;17Networks_LH_ContA_Temp_1
58;lContA_IPS_1;17Networks_LH_ContA_IPS_1
59;lContA_IPS_2;17Networks_LH_ContA_IPS_2
60;lContA_IPS_3;17Networks_LH_ContA_IPS_3
61;lContA_PFCd_1;17Networks_LH_ContA_PFCd_1
62;lContA_PFClv_1;17Networks_LH_ContA_PFClv_1
63;lContA_PFCl_1;17Networks_LH_ContA_PFCl_1
64;lContA_PFCl_2;17Networks_LH_ContA_PFCl_2
65;lContA_PFCl_3;17Networks_LH_ContA_PFCl_3
66;lContA_Cingm_1;17Networks_LH_ContA_Cingm_1
67;lContB_Temp_1;17Networks_LH_ContB_Temp_1
68;lContB_IPL_1;17Networks_LH_ContB_IPL_1
69;lContB_PFCl_1;17Networks_LH_ContB_PFCl_1
70;lContB_PFClv_1;17Networks_LH_ContB_PFClv_1
71;lContB_PFClv_2;17Networks_LH_ContB_PFClv_2
72;lContC_pCun_1;17Networks_LH_ContC_pCun_1
73;lContC_pCun_2;17Networks_LH_ContC_pCun_2
74;lContC_Cingp_1;17Networks_LH_ContC_Cingp_1
75;lDefaultA_IPL_1;17Networks_LH_DefaultA_IPL_1
76;lDefaultA_PFCd_1;17Networks_LH_DefaultA_PFCd_1
77;lDefaultA_pCunPCC_1;17Networks_LH_DefaultA_pCunPCC_1
78;lDefaultA_pCunPCC_2;17Networks_LH_DefaultA_pCunPCC_2
79;lDefaultA_pCunPCC_3;17Networks_LH_DefaultA_pCunPCC_3
80;lDefaultA_PFCm_1;17Networks_LH_DefaultA_PFCm_1
81;lDefaultA_PFCm_2;17Networks_LH_DefaultA_PFCm_2
82;lDefaultA_PFCm_3;17Networks_LH_DefaultA_PFCm_3
83;lDefaultB_Temp_1;17Networks_LH_DefaultB_Temp_1
84;lDefaultB_Temp_2;17Networks_LH_DefaultB_Temp_2
85;lDefaultB_Temp_3;17Networks_LH_DefaultB_Temp_3
86;lDefaultB_Temp_4;17Networks_LH_DefaultB_Temp_4
87;lDefaultB_IPL_1;17Networks_LH_DefaultB_IPL_1
88;lDefaultB_PFCd_1;17Networks_LH_DefaultB_PFCd_1
89;lDefaultB_PFCd_2;17Networks_LH_DefaultB_PFCd_2
90;lDefaultB_PFCd_3;17Networks_LH_DefaultB_PFCd_3
91;lDefaultB_PFCd_4;17Networks_LH_DefaultB_PFCd_4
92;lDefaultB_PFCv_1;17Networks_LH_DefaultB_PFCv_1
93;lDefaultB_PFCv_2;17Networks_LH_DefaultB_PFCv_2
94;lDefaultB_PFCv_3;17Networks_LH_DefaultB_PFCv_3
95;lDefaultB_PFCv_4;17Networks_LH_DefaultB_PFCv_4
96;lDefaultC_IPL_1;17Networks_LH_DefaultC_IPL_1
97;lDefaultC_Rsp_1;17Networks_LH_DefaultC_Rsp_1
98;lDefaultC_PHC_1;17Networks_LH_DefaultC_PHC_1
99;lTempPar_1;17Networks_LH_TempPar_1
100;lTempPar_2;17Networks_LH_TempPar_2
101;rVisCent_ExStr_1;17Networks_RH_VisCent_ExStr_1
102;rVisCent_ExStr_2;17Networks_RH_VisCent_ExStr_2
103;rVisCent_Striate_1;17Networks_RH_VisCent_Striate_1
104;rVisCent_ExStr_3;17Networks_RH_VisCent_ExStr_3
105;rVisCent_ExStr_4;17Networks_RH_VisCent_ExStr_4
106;rVisCent_ExStr_5;17Networks_RH_VisCent_ExStr_5
107;rVisPeri_ExStrInf_1;17Networks_RH_VisPeri_ExStrInf_1
108;rVisPeri_ExStrInf_2;17Networks_RH_VisPeri_ExStrInf_2
109;rVisPeri_StriCal_1;17Networks_RH_VisPeri_StriCal_1
110;rVisPeri_ExStrSup_1;17Networks_RH_VisPeri_ExStrSup_1
111;rVisPeri_ExStrSup_2;17Networks_RH_VisPeri_ExStrSup_2
112;rVisPeri_ExStrSup_3;17Networks_RH_VisPeri_ExStrSup_3
113;rSomMotA_1;17Networks_RH_SomMotA_1
114;rSomMotA_2;17Networks_RH_SomMotA_2
115;rSomMotA_3;17Networks_RH_SomMotA_3
116;rSomMotA_4;17Networks_RH_SomMotA_4
117;rSomMotA_5;17Networks_RH_SomMotA_5
118;rSomMotA_6;17Networks_RH_SomMotA_6
119;rSomMotA_7;17Networks_RH_SomMotA_7
120;rSomMotA_8;17Networks_RH_SomMotA_8
121;rSomMotA_9;17Networks_RH_SomMotA_9
122;rSomMotA_10;17Networks_RH_SomMotA_10
123;rSomMotA_11;17Networks_RH_SomMotA_11
124;rSomMotB_Aud_1;17Networks_RH_SomMotB_Aud_1
125;rSomMotB_Aud_2;17Networks_RH_SomMotB_Aud_2
126;rSomMotB_S2_1;17Networks_RH_SomMotB_S2_1
127;rSomMotB_S2_2;17Networks_RH_SomMotB_S2_2
128;rSomMotB_S2_3;17Networks_RH_SomMotB_S2_3
129;rSomMotB_S2_4;17Networks_RH_SomMotB_S2_4
130;rSomMotB_Cent_1;17Networks_RH_SomMotB_Cent_1
131;rDorsAttnA_TempOcc_1;17Networks_RH_DorsAttnA_TempOcc_1
132;rDorsAttnA_ParOcc_1;17Networks_RH_DorsAttnA_ParOcc_1
133;rDorsAttnA_SPL_1;17Networks_RH_DorsAttnA_SPL_1
134;rDorsAttnA_SPL_2;17Networks_RH_DorsAttnA_SPL_2
135;rDorsAttnA_SPL_3;17Networks_RH_DorsAttnA_SPL_3
136;rDorsAttnA_SPL_4;17Networks_RH_DorsAttnA_SPL_4
137;rDorsAttnB_PostC_1;17Networks_RH_DorsAttnB_PostC_1
138;rDorsAttnB_PostC_2;17Networks_RH_DorsAttnB_PostC_2
139;rDorsAttnB_PostC_3;17Networks_RH_DorsAttnB_PostC_3
140;rDorsAttnB_PostC_4;17Networks_RH_DorsAttnB_PostC_4
141;rDorsAttnB_FEF_1;17Networks_RH_DorsAttnB_FEF_1
142;rSalVentAttnA_ParOper_1;17Networks_RH_SalVentAttnA_ParOper_1
143;rSalVentAttnA_PrC_1;17Networks_RH_SalVentAttnA_PrC_1
144;rSalVentAttnA_Ins_1;17Networks_RH_SalVentAttnA_Ins_1
145;rSalVentAttnA_Ins_2;17Networks_RH_SalVentAttnA_Ins_2
146;rSalVentAttnA_FrOper_1;17Networks_RH_SalVentAttnA_FrOper_1
147;rSalVentAttnA_FrMed_1;17Networks_RH_SalVentAttnA_FrMed_1
148;rSalVentAttnA_ParMed_1;17Networks_RH_SalVentAttnA_ParMed_1
149;rSalVentAttnA_ParMed_2;17Networks_RH_SalVentAttnA_ParMed_2
150;rSalVentAttnA_FrMed_2;17Networks_RH_SalVentAttnA_FrMed_2
151;rSalVentAttnB_IPL_1;17Networks_RH_SalVentAttnB_IPL_1
152;rSalVentAttnB_PFClv_1;17Networks_RH_SalVentAttnB_PFClv_1
153;rSalVentAttnB_PFCl_1;17Networks_RH_SalVentAttnB_PFCl_1
154;rSalVentAttnB_Ins_1;17Networks_RH_SalVentAttnB_Ins_1
155;rSalVentAttnB_Ins_2;17Networks_RH_SalVentAttnB_Ins_2
156;rSalVentAttnB_PFCmp_1;17Networks_RH_SalVentAttnB_PFCmp_1
157;rLimbicB_OFC_1;17Networks_RH_LimbicB_OFC_1
158;rLimbicB_OFC_2;17Networks_RH_LimbicB_OFC_2
159;rLimbicB_OFC_3;17Networks_RH_LimbicB_OFC_3
160;rLimbicB_OFC_4;17Networks_RH_LimbicB_OFC_4
161;rLimbicA_TempPole_1;17Networks_RH_LimbicA_TempPole_1
162;rLimbicA_TempPole_2;17Networks_RH_LimbicA_TempPole_2
163;rLimbicA_TempPole_3;17Networks_RH_LimbicA_TempPole_3
164;rLimbicA_TempPole_4;17Networks_RH_LimbicA_TempPole_4
165;rContA_IPS_1;17Networks_RH_ContA_IPS_1
166;rContA_IPS_2;17Networks_RH_ContA_IPS_2
167;rContA_PFCd_1;17Networks_RH_ContA_PFCd_1
168;rContA_PFCl_1;17Networks_RH_ContA_PFCl_1
169;rContA_PFCl_2;17Networks_RH_ContA_PFCl_2
170;rContA_Cingm_1;17Networks_RH_ContA_Cingm_1
171;rContB_Temp_1;17Networks_RH_ContB_Temp_1
172;rContB_Temp_2;17Networks_RH_ContB_Temp_2
173;rContB_IPL_1;17Networks_RH_ContB_IPL_1
174;rContB_IPL_2;17Networks_RH_ContB_IPL_2
175;rContB_PFCld_1;17Networks_RH_ContB_PFCld_1
176;rContB_PFCld_2;17Networks_RH_ContB_PFCld_2
177;rContB_PFClv_1;17Networks_RH_ContB_PFClv_1
178;rContB_PFClv_2;17Networks_RH_ContB_PFClv_2
179;rContB_PFCmp_1;17Networks_RH_ContB_PFCmp_1
180;rContB_PFCld_3;17Networks_RH_ContB_PFCld_3
181;rContC_pCun_1;17Networks_RH_ContC_pCun_1
182;rContC_pCun_2;17Networks_RH_ContC_pCun_2
183;rContC_Cingp_1;17Networks_RH_ContC_Cingp_1
184;rDefaultA_IPL_1;17Networks_RH_DefaultA_IPL_1
185;rDefaultA_PFCd_1;17Networks_RH_DefaultA_PFCd_1
186;rDefaultA_pCunPCC_1;17Networks_RH_DefaultA_pCunPCC_1
187;rDefaultA_PFCm_1;17Networks_RH_DefaultA_PFCm_1
188;rDefaultA_PFCm_2;17Networks_RH_DefaultA_PFCm_2
189;rDefaultA_PFCm_3;17Networks_RH_DefaultA_PFCm_3
190;rDefaultB_Temp_1;17Networks_RH_DefaultB_Temp_1
191;rDefaultB_AntTemp_1;17Networks_RH_DefaultB_AntTemp_1
192;rDefaultB_PFCd_1;17Networks_RH_DefaultB_PFCd_1
193;rDefaultB_PFCv_1;17Networks_RH_DefaultB_PFCv_1
194;rDefaultC_IPL_1;17Networks_RH_DefaultC_IPL_1
195;rDefaultC_Rsp_1;17Networks_RH_DefaultC_Rsp_1
196;rDefaultC_PHC_1;17Networks_RH_DefaultC_PHC_1
197;rTempPar_1;17Networks_RH_TempPar_1
198;rTempPar_2;17Networks_RH_TempPar_2
199;rTempPar_3;17Networks_RH_TempPar_3
200;rTempPar_4;17Networks_RH_TempPar_4
