ROIid;ROIabbr;ROIname
1;lVisCent_Striate_1;17Networks_LH_VisCent_Striate_1
2;lVisCent_Striate_2;17Networks_LH_VisCent_Striate_2
3;lVisCent_Striate_3;17Networks_LH_VisCent_Striate_3
4;lVisCent_ExStr_1;17Networks_LH_VisCent_ExStr_1
5;lVisCent_ExStr_2;17Networks_LH_VisCent_ExStr_2
6;lVisCent_ExStr_3;17Networks_LH_VisCent_ExStr_3
7;lVisCent_ExStr_4;17Networks_LH_VisCent_ExStr_4
8;lVisCent_ExStr_5;17Networks_LH_VisCent_ExStr_5
9;lVisCent_ExStr_6;17Networks_LH_VisCent_ExStr_6
10;lVisCent_ExStr_7;17Networks_LH_VisCent_ExStr_7
11;lVisCent_ExStr_8;17Networks_LH_VisCent_ExStr_8
12;lVisCent_ExStr_9;17Networks_LH_VisCent_ExStr_9
13;lVisCent_ExStr_10;17Networks_LH_VisCent_ExStr_10
14;lVisCent_ExStr_11;17Networks_LH_VisCent_ExStr_11
15;lVisCent_ExStr_12;17Networks_LH_VisCent_ExStr_12
16;lVisCent_ExStr_13;17Networks_LH_VisCent_ExStr_13
17;lVisCent_ExStr_14;17Networks_LH_VisCent_ExStr_14
18;lVisCent_ExStr_15;17Networks_LH_VisCent_ExStr_15
19;lVisCent_ExStr_16;17Networks_LH_VisCent_ExStr_16
20;lVisCent_ExStr_17;17Networks_LH_VisCent_ExStr_17
21;lVisPeri_StriCal_1;17Networks_LH_VisPeri_StriCal_1
22;lVisPeri_StriCal_2;17Networks_LH_VisPeri_StriCal_2
23;lVisPeri_StriCal_3;17Networks_LH_VisPeri_StriCal_3
24;lVisPeri_StriCal_4;17Networks_LH_VisPeri_StriCal_4
25;lVisPeri_StriCal_5;17Networks_LH_VisPeri_StriCal_5
26;lVisPeri_ExStrInf_1;17Networks_LH_VisPeri_ExStrInf_1
27;lVisPeri_ExStrInf_2;17Networks_LH_VisPeri_ExStrInf_2
28;lVisPeri_ExStrInf_3;17Networks_LH_VisPeri_ExStrInf_3
29;lVisPeri_ExStrInf_4;17Networks_LH_VisPeri_ExStrInf_4
30;lVisPeri_ExStrInf_5;17Networks_LH_VisPeri_ExStrInf_5
