ROIid;ROIabbr;ROIname;ROIcolor
77;lDefaultA_pCunPCC_1;17Networks_LH_DefaultA_pCunPCC_1;255 254 1
78;lDefaultA_pCunPCC_2;17Networks_LH_DefaultA_pCunPCC_2;255 254 2
79;lDefaultA_pCunPCC_3;17Networks_LH_DefaultA_pCunPCC_3;255 254 3
80;lDefaultA_PFCm_1;17Networks_LH_DefaultA_PFCm_1;254 255 1
81;lDefaultA_PFCm_2;17Networks_LH_DefaultA_PFCm_2;254 255 2
82;lDefaultA_PFCm_3;17Networks_LH_DefaultA_PFCm_3;254 255 3
83;lDefaultB_Temp_1;17Networks_LH_DefaultB_Temp_1;205 62 79
84;lDefaultB_Temp_2;17Networks_LH_DefaultB_Temp_2;205 62 80
85;lDefaultB_Temp_3;17Networks_LH_DefaultB_Temp_3;205 62 81
86;lDefaultB_Temp_4;17Networks_LH_DefaultB_Temp_4;205 62 82
87;lDefaultB_IPL_1;17Networks_LH_DefaultB_IPL_1;205 62 83
88;lDefaultB_PFCd_1;17Networks_LH_DefaultB_PFCd_1;205 63 79
89;lDefaultB_PFCd_2;17Networks_LH_DefaultB_PFCd_2;205 63 80
90;lDefaultB_PFCd_3;17Networks_LH_DefaultB_PFCd_3;205 63 81
91;lDefaultB_PFCd_4;17Networks_LH_DefaultB_PFCd_4;205 63 82
92;lDefaultB_PFCv_1;17Networks_LH_DefaultB_PFCv_1;206 62 79
93;lDefaultB_PFCv_2;17Networks_LH_DefaultB_PFCv_2;206 62 80
94;lDefaultB_PFCv_3;17Networks_LH_DefaultB_PFCv_3;206 62 81
95;lDefaultB_PFCv_4;17Networks_LH_DefaultB_PFCv_4;206 62 82
96;lDefaultC_IPL_1;17Networks_LH_DefaultC_IPL_1;0 0 131
97;lDefaultC_Rsp_1;17Networks_LH_DefaultC_Rsp_1;0 0 132
98;lDefaultC_PHC_1;17Networks_LH_DefaultC_PHC_1;0 1 131
99;lTempPar_1;17Networks_LH_TempPar_1;9 41 250
100;lTempPar_2;17Networks_LH_TempPar_2;9 41 251
101;rVisCent_ExStr_1;17Networks_RH_VisCent_ExStr_1;124 19 134
102;rVisCent_ExStr_2;17Networks_RH_VisCent_ExStr_2;124 19 136
103;rVisCent_Striate_1;17Networks_RH_VisCent_Striate_1;124 19 137
104;rVisCent_ExStr_3;17Networks_RH_VisCent_ExStr_3;124 19 138
105;rVisCent_ExStr_4;17Networks_RH_VisCent_ExStr_4;124 19 139
106;rVisCent_ExStr_5;17Networks_RH_VisCent_ExStr_5;124 19 140
107;rVisPeri_ExStrInf_1;17Networks_RH_VisPeri_ExStrInf_1;250 0 0
108;rVisPeri_ExStrInf_2;17Networks_RH_VisPeri_ExStrInf_2;250 0 2
109;rVisPeri_StriCal_1;17Networks_RH_VisPeri_StriCal_1;250 0 3
110;rVisPeri_ExStrSup_1;17Networks_RH_VisPeri_ExStrSup_1;250 0 4
111;rVisPeri_ExStrSup_2;17Networks_RH_VisPeri_ExStrSup_2;250 0 5
112;rVisPeri_ExStrSup_3;17Networks_RH_VisPeri_ExStrSup_3;250 0 6
113;rSomMotA_1;17Networks_RH_SomMotA_1;74 131 177
114;rSomMotA_2;17Networks_RH_SomMotA_2;74 131 178
115;rSomMotA_3;17Networks_RH_SomMotA_3;74 131 179
116;rSomMotA_4;17Networks_RH_SomMotA_4;74 131 180
117;rSomMotA_5;17Networks_RH_SomMotA_5;74 131 182
118;rSomMotA_6;17Networks_RH_SomMotA_6;74 131 183
119;rSomMotA_7;17Networks_RH_SomMotA_7;74 131 184
120;rSomMotA_8;17Networks_RH_SomMotA_8;74 131 185
121;rSomMotA_9;17Networks_RH_SomMotA_9;74 131 186
122;rSomMotA_10;17Networks_RH_SomMotA_10;74 131 187
123;rSomMotA_11;17Networks_RH_SomMotA_11;74 131 188
124;rSomMotB_Aud_1;17Networks_RH_SomMotB_Aud_1;47 205 162
125;rSomMotB_Aud_2;17Networks_RH_SomMotB_Aud_2;47 205 163
