ROIid;ROIabbr;ROIname;ROIcolor
1;lVisCent_ExStr_1;17Networks_LH_VisCent_ExStr_1;120 18 136
2;lVisCent_ExStr_2;17Networks_LH_VisCent_ExStr_2;120 18 137
3;lVisCent_Striate_1;17Networks_LH_VisCent_Striate_1;120 18 138
4;lVisCent_ExStr_3;17Networks_LH_VisCent_ExStr_3;120 18 139
5;lVisPeri_ExStrInf_1;17Networks_LH_VisPeri_ExStrInf_1;255 0 2
6;lVisPeri_StriCal_1;17Networks_LH_VisPeri_StriCal_1;255 0 3
7;lVisPeri_ExStrSup_1;17Networks_LH_VisPeri_ExStrSup_1;255 0 4
8;lSomMotA_1;17Networks_LH_SomMotA_1;70 130 181
9;lSomMotA_2;17Networks_LH_SomMotA_2;70 130 182
10;lSomMotB_Aud_1;17Networks_LH_SomMotB_Aud_1;43 204 165
11;lSomMotB_S2_1;17Networks_LH_SomMotB_S2_1;43 204 166
12;lSomMotB_S2_2;17Networks_LH_SomMotB_S2_2;43 204 167
13;lSomMotB_Cent_1;17Networks_LH_SomMotB_Cent_1;43 204 168
14;lDorsAttnA_TempOcc_1;17Networks_LH_DorsAttnA_TempOcc_1;74 156 61
15;lDorsAttnA_ParOcc_1;17Networks_LH_DorsAttnA_ParOcc_1;74 156 62
16;lDorsAttnA_SPL_1;17Networks_LH_DorsAttnA_SPL_1;74 156 63
17;lDorsAttnB_PostC_1;17Networks_LH_DorsAttnB_PostC_1;0 118 16
18;lDorsAttnB_PostC_2;17Networks_LH_DorsAttnB_PostC_2;0 118 17
19;lDorsAttnB_PostC_3;17Networks_LH_DorsAttnB_PostC_3;0 118 18
20;lDorsAttnB_FEF_1;17Networks_LH_DorsAttnB_FEF_1;0 119 15
21;lSalVentAttnA_ParOper_1;17Networks_LH_SalVentAttnA_ParOper_1;196 58 251
22;lSalVentAttnA_Ins_1;17Networks_LH_SalVentAttnA_Ins_1;196 59 251
23;lSalVentAttnA_Ins_2;17Networks_LH_SalVentAttnA_Ins_2;196 59 252
24;lSalVentAttnA_ParMed_1;17Networks_LH_SalVentAttnA_ParMed_1;196 59 253
25;lSalVentAttnA_FrMed_1;17Networks_LH_SalVentAttnA_FrMed_1;197 58 251
26;lSalVentAttnB_PFCl_1;17Networks_LH_SalVentAttnB_PFCl_1;255 153 214
27;lSalVentAttnB_PFCmp_1;17Networks_LH_SalVentAttnB_PFCmp_1;255 151 214
28;lLimbicB_OFC_1;17Networks_LH_LimbicB_OFC_1;122 135 51
29;lLimbicA_TempPole_1;17Networks_LH_LimbicA_TempPole_1;220 248 165
30;lLimbicA_TempPole_2;17Networks_LH_LimbicA_TempPole_2;220 248 166
31;lContA_IPS_1;17Networks_LH_ContA_IPS_1;230 148 36
32;lContA_PFCl_1;17Networks_LH_ContA_PFCl_1;230 149 36
33;lContA_PFCl_2;17Networks_LH_ContA_PFCl_2;230 149 37
34;lContB_PFClv_1;17Networks_LH_ContB_PFClv_1;136 50 75
35;lContC_pCun_1;17Networks_LH_ContC_pCun_1;119 140 177
36;lContC_pCun_2;17Networks_LH_ContC_pCun_2;119 140 178
37;lContC_Cingp_1;17Networks_LH_ContC_Cingp_1;119 140 179
38;lDefaultA_PFCd_1;17Networks_LH_DefaultA_PFCd_1;255 255 2
39;lDefaultA_pCunPCC_1;17Networks_LH_DefaultA_pCunPCC_1;255 254 1
40;lDefaultA_PFCm_1;17Networks_LH_DefaultA_PFCm_1;254 255 1
41;lDefaultB_Temp_1;17Networks_LH_DefaultB_Temp_1;205 62 79
42;lDefaultB_Temp_2;17Networks_LH_DefaultB_Temp_2;205 62 80
43;lDefaultB_IPL_1;17Networks_LH_DefaultB_IPL_1;205 62 81
44;lDefaultB_PFCd_1;17Networks_LH_DefaultB_PFCd_1;205 63 79
45;lDefaultB_PFCl_1;17Networks_LH_DefaultB_PFCl_1;205 63 80
46;lDefaultB_PFCv_1;17Networks_LH_DefaultB_PFCv_1;206 62 79
47;lDefaultB_PFCv_2;17Networks_LH_DefaultB_PFCv_2;206 62 80
48;lDefaultC_Rsp_1;17Networks_LH_DefaultC_Rsp_1;0 0 132
49;lDefaultC_PHC_1;17Networks_LH_DefaultC_PHC_1;0 1 131
50;lTempPar_1;17Networks_LH_TempPar_1;9 41 250
51;rVisCent_ExStr_1;17Networks_RH_VisCent_ExStr_1;124 19 136
52;rVisCent_ExStr_2;17Networks_RH_VisCent_ExStr_2;124 19 137
53;rVisCent_ExStr_3;17Networks_RH_VisCent_ExStr_3;124 19 138
