ROIid;ROIabbr;ROIname;ROIcolor
54;rVisPeri_StriCal_1;17Networks_RH_VisPeri_StriCal_1;250 0 2
55;rVisPeri_ExStrInf_1;17Networks_RH_VisPeri_ExStrInf_1;250 0 3
56;rVisPeri_ExStrSup_1;17Networks_RH_VisPeri_ExStrSup_1;250 0 4
57;rSomMotA_1;17Networks_RH_SomMotA_1;74 131 182
58;rSomMotA_2;17Networks_RH_SomMotA_2;74 131 183
59;rSomMotA_3;17Networks_RH_SomMotA_3;74 131 184
60;rSomMotA_4;17Networks_RH_SomMotA_4;74 131 185
61;rSomMotB_Aud_1;17Networks_RH_SomMotB_Aud_1;47 205 165
62;rSomMotB_S2_1;17Networks_RH_SomMotB_S2_1;47 205 166
63;rSomMotB_S2_2;17Networks_RH_SomMotB_S2_2;47 205 167
64;rSomMotB_Cent_1;17Networks_RH_SomMotB_Cent_1;47 205 168
65;rDorsAttnA_TempOcc_1;17Networks_RH_DorsAttnA_TempOcc_1;79 155 62
66;rDorsAttnA_ParOcc_1;17Networks_RH_DorsAttnA_ParOcc_1;79 155 63
67;rDorsAttnA_SPL_1;17Networks_RH_DorsAttnA_SPL_1;79 155 64
68;rDorsAttnB_PostC_1;17Networks_RH_DorsAttnB_PostC_1;5 118 16
69;rDorsAttnB_PostC_2;17Networks_RH_DorsAttnB_PostC_2;5 118 17
70;rDorsAttnB_FEF_1;17Networks_RH_DorsAttnB_FEF_1;5 119 15
71;rSalVentAttnA_ParOper_1;17Networks_RH_SalVentAttnA_ParOper_1;200 58 250
72;rSalVentAttnA_Ins_1;17Networks_RH_SalVentAttnA_Ins_1;199 58 251
73;rSalVentAttnA_ParMed_1;17Networks_RH_SalVentAttnA_ParMed_1;199 57 251
74;rSalVentAttnA_FrMed_1;17Networks_RH_SalVentAttnA_FrMed_1;199 57 252
75;rSalVentAttnB_IPL_1;17Networks_RH_SalVentAttnB_IPL_1;250 152 214
76;rSalVentAttnB_PFCl_1;17Networks_RH_SalVentAttnB_PFCl_1;250 151 214
77;rSalVentAttnB_PFCmp_1;17Networks_RH_SalVentAttnB_PFCmp_1;250 153 214
78;rLimbicB_OFC_1;17Networks_RH_LimbicB_OFC_1;126 135 52
79;rLimbicA_TempPole_1;17Networks_RH_LimbicA_TempPole_1;224 248 166
80;rContA_IPS_1;17Networks_RH_ContA_IPS_1;234 147 35
81;rContA_PFCl_1;17Networks_RH_ContA_PFCl_1;233 148 35
82;rContA_PFCl_2;17Networks_RH_ContA_PFCl_2;233 148 36
83;rContB_Temp_1;17Networks_RH_ContB_Temp_1;140 51 76
84;rContB_IPL_1;17Networks_RH_ContB_IPL_1;139 50 74
85;rContB_PFCld_1;17Networks_RH_ContB_PFCld_1;139 49 75
86;rContB_PFClv_1;17Networks_RH_ContB_PFClv_1;139 49 74
87;rContC_Cingp_1;17Networks_RH_ContC_Cingp_1;123 141 177
88;rContC_pCun_1;17Networks_RH_ContC_pCun_1;123 141 178
89;rDefaultA_IPL_1;17Networks_RH_DefaultA_IPL_1;251 254 2
90;rDefaultA_PFCd_1;17Networks_RH_DefaultA_PFCd_1;251 255 3
91;rDefaultA_pCunPCC_1;17Networks_RH_DefaultA_pCunPCC_1;251 253 1
92;rDefaultA_PFCm_1;17Networks_RH_DefaultA_PFCm_1;249 255 1
93;rDefaultB_PFCd_1;17Networks_RH_DefaultB_PFCd_1;210 63 80
94;rDefaultB_PFCv_1;17Networks_RH_DefaultB_PFCv_1;209 62 78
95;rDefaultB_PFCv_2;17Networks_RH_DefaultB_PFCv_2;209 62 79
96;rDefaultC_Rsp_1;17Networks_RH_DefaultC_Rsp_1;5 0 131
97;rDefaultC_PHC_1;17Networks_RH_DefaultC_PHC_1;5 0 132
98;rTempPar_1;17Networks_RH_TempPar_1;16 48 255
99;rTempPar_2;17Networks_RH_TempPar_2;13 41 250
100;rTempPar_3;17Networks_RH_TempPar_3;13 41 251
