ROIid;ROIappr;ROIname;ROIbase
54;rCbe;Right Cerebellum;CEREBELLUM  & CEREBELLUM_right 
55;lCST;Left corticospinal_tract;Corticospinal_tract_left  & Corticospinal_tract_right 
56;rCST;Right corticospinal_tract;Corticospinal_tract_left  & Corticospinal_tract_right 
57;lCBePed;Left Cerebellar Peduncle;Inferior_cerebellar_peduncle_left  & Inferior_cerebellar_peduncle_right 
58;rCBePed;Right Cerebellar Peduncle;Inferior_cerebellar_peduncle_left  & Inferior_cerebellar_peduncle_right 
59;lMedLem;Left Medial Lemniscus;Medial_lemniscus_left  & Medial_lemniscus_right 
60;rMedLem;Right Medial Lemniscus;Medial_lemniscus_left  & Medial_lemniscus_right 
61;lSupCBePed;Left Superior Cerebellar Peduncle;Superior_cerebellar_peduncle_left  & Superior_cerebellar_peduncle_right 
62;rSupCBePed;Right Superior Cerebellar Peduncle;Superior_cerebellar_peduncle_left  & Superior_cerebellar_peduncle_right 
63;lCbrPed;Left Cerebral Peduncle;Cerebral_peduncle_left  & Cerebral_peduncle_right 
64;rCbrPed;Right Cerebral Peduncle;Cerebral_peduncle_left  & Cerebral_peduncle_right 
65;lAntCLIC;Left Anterior Capsule Limb of Internal;Anterior_limb_of_internal_capsule_left  & Anterior_limb_of_internal_capsule_right 
66;rAntCLIC;Right Anterior Capsule Limb of Internal;Anterior_limb_of_internal_capsule_left  & Anterior_limb_of_internal_capsule_right 
67;lPosCLIC;Left Posterior Capsule Limb of Internal;Posterior_limb_of_internal_capsule_left  & Posterior_limb_of_internal_capsule_right 
68;rPosCLIC;Right Posterior Capsule Limb of Internal;Posterior_limb_of_internal_capsule_left  & Posterior_limb_of_internal_capsule_right 
69;lPosThR;Left Posterior Thalamic Radiation;Posterior_thalamic_radiation_left  & Posterior_thalamic_radiation_(include_optic_radiation)_right 
70;rPosThR;Right Posterior Thalamic Radiation;Posterior_thalamic_radiation_left  & Posterior_thalamic_radiation_(include_optic_radiation)_right 
71;lAntCR;Left Anterior Corona Radiata;Anterior_corona_radiata_left  & Anterior_corona_radiata_right 
72;rAntCR;Right Anterior Corona Radiata;Anterior_corona_radiata_left  & Anterior_corona_radiata_right 
73;lSupCR;Left Superior Corona Radiata;Superior_corona_radiata_left  & Superior_corona_radiata_right 
74;rSupCR;Right Superior Corona Radiata;Superior_corona_radiata_left  & Superior_corona_radiata_right 
75;lPosCR;Left Posterior Corona Radiata;Posterior_corona_radiata_left  & Posterior_corona_radiata_right 
76;rPosCR;Right Posterior Corona Radiata;Posterior_corona_radiata_left  & Posterior_corona_radiata_right 
77;lCinaCinG;Left Cingulate and Cingulum Gyrus;Cingulum_(cingulate_gyrus)_left  & Cingulum_(cingulate_gyrus)_right 
78;rCinaCinG;Right Cingulate and Cingulum Gyrus;Cingulum_(cingulate_gyrus)_left  & Cingulum_(cingulate_gyrus)_right 
79;lCinaHip;Left Cingulum and Hippocampus;Cingulum_(hippocampus)_left  & Cingulum_(hippocampus)_right 
80;rCinaHip;Right Cingulum and Hippocampus;Cingulum_(hippocampus)_left  & Cingulum_(hippocampus)_right 
81;lForStrTer;Left Fornix Stria Terminalis;Fornix(cres)_Stria_terminalis_left  & Fornix(cres)_Stria_terminalis_right 
82;rForStrTer;Right Fornix Stria Terminalis;Fornix(cres)_Stria_terminalis_left  & Fornix(cres)_Stria_terminalis_right 
83;lSupLon;Left Superior Longitudinal;Superior_longitudinal_fasciculus_left  & Superior_longitudinal_fasciculus_right 
84;rSupLon;Right Superior Longitudinal;Superior_longitudinal_fasciculus_left  & Superior_longitudinal_fasciculus_right 
85;lSupOcc;Left Superior Occipital;Superior_fronto-occipital_fasciculus_left  & Superior_fronto-occipital_fasciculus_right 
86;rSupOcc;Right Superior Occipital;Superior_fronto-occipital_fasciculus_left  & Superior_fronto-occipital_fasciculus_right 
87;lOcc;Left Occipital;Inferior_fronto-occipital_fasciculus_left  & Inferior_fronto-occipital_fasciculus_right 
88;rOcc;Right Occipital;Inferior_fronto-occipital_fasciculus_left  & Inferior_fronto-occipital_fasciculus_right 
89;lSagStr;Left Sagital Stratum;Sagittal_stratum_left  & Sagittal_stratum_right 
90;rSagStr;Right Sagital Stratum;Sagittal_stratum_left  & Sagittal_stratum_right 
91;lCExt;Left Capsule External;External_capsule_left  & External_capsule_right 
92;rCExt;Right Capsule External;External_capsule_left  & External_capsule_right 
93;lUNC;Left Uncinate;Uncinate_fasciculus_left  & Uncinate_fasciculus_right 
94;rUNC;Right Uncinate;Uncinate_fasciculus_left  & Uncinate_fasciculus_right 
95;lPCT;Left Pontine Crossing Tract;Pontine_crossing_tract_left  & Pontine_crossing_tract_right 
96;rPCT;Right Pontine Crossing Tract;Pontine_crossing_tract_left  & Pontine_crossing_tract_right 
97;lMidCBePed;Left Middle Cerebellar Peduncle;Middle_cerebellar_peduncle_left  & Middle_cerebellar_peduncle_right 
98;rMidCBePed;Right Middle Cerebellar Peduncle;Middle_cerebellar_peduncle_left  & Middle_cerebellar_peduncle_right 
99;lBodForCol;Left (Body) Fornix Column;Fornix_(column_and_body)_left  & Fornix_(column_and_body)_right 
100;rBodForCol;Right (Body) Fornix Column;Fornix_(column_and_body)_left  & Fornix_(column_and_body)_right 
101;lCCGen;Left Corpus Callosum (Genu);Genu_of_corpus_callosum_left  & Genu_of_corpus_callosum_right 
102;rCCGen;Right Corpus Callosum (Genu);Genu_of_corpus_callosum_left  & Genu_of_corpus_callosum_right 
103;lCCBod;Left Corpus Callosum (Body);Body_of_corpus_callosum_left  & Body_of_corpus_callosum_right 
104;rCCBod;Right Corpus Callosum (Body);Body_of_corpus_callosum_left  & Body_of_corpus_callosum_right 
105;lCC;Left Corpus Callosum;Splenium_of_corpus_callosum_left  & Splenium_of_corpus_callosum_right 
106;rCC;Right Corpus Callosum;Splenium_of_corpus_callosum_left  & Splenium_of_corpus_callosum_right 
107;lCRetLenINC;Left Capsule Retrolenticular_part_of_internal_capsule;Retrolenticular_part_of_internal_capsule_left  & Retrolenticular_part_of_internal_capsule_right 
108;rCRetLenINC;Right Capsule Retrolenticular_part_of_internal_capsule;Retrolenticular_part_of_internal_capsule_left  & Retrolenticular_part_of_internal_capsule_right 
109;lNucRedNuc;Left Nucleus Red-Nucleus;Red_Nucleus_left  & Red_Nucleus_right 
110;rNucRedNuc;Right Nucleus Red-Nucleus;Red_Nucleus_left  & Red_Nucleus_right 
